ReceiptNo,ItemCode
1,s21
2,s2
2,s4
2,s8
2,s19
2,s25
2,s9
3,s4
3,s24
3,s7
3,s24
4,s3
4,s20
4,s16
4,s1
5,s24
5,s14
6,s4
6,s3
7,s17
8,s14
9,s17
9,s15
10,s8
11,s1
12,s11
12,s6
13,s3
14,s8
14,s2
14,s17
15,s2
15,s8
15,s7
15,s24
15,s15
16,s15
16,s10
17,s1
17,s3
17,s14
18,s12
18,s10
19,s2
20,s2
20,s12
21,s6
21,s18
21,s11
21,s2
22,s14
22,s10
22,s4
23,s10
24,s11
24,s10
24,s1
24,s22
25,s3
26,s7
26,s24
27,s5
27,s18
27,s13
27,s25
27,s8
27,s19
27,s9
28,s16
28,s20
29,s3
29,s20
29,s16
29,s15
30,s1
31,s3
31,s11
32,s1
32,s2
33,s2
34,s9
35,s7
35,s23
35,s22
35,s25
35,s19
35,s17
35,s16
35,s20
35,s21
35,s1
35,s9
35,s5
35,s5
35,s2
36,s6
36,s2
36,s14
36,s12
37,s2
38,s13
38,s19
38,s2
39,s4
39,s21
39,s3
39,s1
40,s14
41,s2
41,s19
41,s25
41,s1
41,s10
41,s10
42,s14
42,s16
42,s20
42,s9
43,s14
43,s2
43,s25
43,s9
43,s19
44,s23
44,s4
44,s22
44,s11
44,s19
44,s3
44,s6
44,s16
44,s21
44,s1
44,s9
44,s24
44,s5
44,s2
45,s7
45,s23
45,s11
45,s17
45,s6
45,s10
45,s16
45,s20
45,s21
45,s9
45,s1
45,s15
45,s5
45,s2
46,s5
47,s21
47,s1
47,s12
47,s5
47,s2
47,s7
47,s23
47,s4
47,s11
47,s17
47,s6
47,s10
47,s16
47,s20
48,s6
48,s2
48,s17
48,s10
48,s7
49,s10
49,s24
49,s4
50,s23
50,s9
50,s25
50,s21
51,s8
52,s6
53,s21
54,s12
54,s17
55,s13
55,s18
55,s8
55,s7
55,s5
56,s17
56,s6
57,s4
57,s4
57,s11
57,s3
57,s10
57,s13
57,s8
57,s1
57,s24
57,s5
57,s9
57,s3
58,s4
58,s11
59,s6
59,s21
60,s9
60,s7
60,s23
60,s4
60,s22
60,s11
60,s17
60,s6
60,s16
60,s21
60,s18
60,s8
60,s1
60,s5
60,s2
60,s2
61,s25
61,s19
61,s17
61,s6
61,s16
61,s21
61,s13
61,s18
61,s1
61,s24
61,s2
61,s2
61,s3
61,s9
61,s7
61,s4
61,s11
62,s3
62,s20
62,s16
62,s18
62,s5
63,s2
63,s18
63,s9
63,s25
63,s25
63,s1
63,s23
63,s8
63,s19
63,s12
64,s22
65,s24
65,s22
65,s15
65,s2
65,s12
66,s22
66,s3
66,s15
66,s22
66,s1
66,s23
66,s2
67,s17
68,s2
68,s7
68,s24
68,s16
68,s20
68,s9
68,s5
68,s19
69,s8
69,s13
69,s15
69,s18
70,s9
70,s4
71,s7
72,s12
72,s11
72,s4
73,s12
73,s1
73,s10
74,s21
74,s3
75,s15
75,s2
75,s14
75,s3
75,s12
76,s22
77,s2
77,s12
78,s5
78,s13
78,s14
79,s23
79,s4
79,s22
79,s17
79,s6
79,s13
79,s18
79,s12
79,s15
79,s5
79,s2
79,s7
79,s2
79,s3
80,s7
80,s23
80,s4
80,s22
80,s11
80,s6
80,s10
80,s21
80,s13
80,s1
80,s12
80,s15
80,s2
81,s5
81,s2
82,s21
82,s19
83,s1
83,s8
84,s18
84,s13
84,s5
84,s16
84,s20
84,s3
85,s1
85,s7
86,s12
87,s23
87,s3
87,s8
87,s9
88,s2
88,s1
89,s14
89,s2
89,s4
90,s6
90,s15
90,s4
90,s22
91,s6
92,s15
92,s1
93,s1
93,s11
93,s12
93,s17
93,s10
94,s6
95,s14
95,s2
96,s14
96,s14
97,s19
98,s1
98,s14
99,s7
99,s23
99,s4
99,s17
99,s10
99,s13
99,s1
99,s12
99,s15
99,s24
99,s5
100,s13
100,s18
100,s5
100,s8
100,s19
100,s9
100,s25
100,s2
101,s7
101,s23
101,s4
101,s11
101,s3
101,s17
101,s6
101,s16
101,s20
101,s18
101,s15
101,s5
101,s2
102,s21
102,s3
103,s9
103,s7
103,s24
103,s14
104,s4
104,s6
105,s17
105,s23
105,s2
105,s5
106,s17
106,s10
107,s24
108,s11
108,s4
108,s24
108,s7
108,s14
108,s9
109,s18
110,s24
110,s7
111,s3
112,s7
112,s6
112,s4
113,s6
113,s22
114,s14
115,s2
115,s14
115,s1
116,s9
116,s25
116,s8
116,s22
117,s19
117,s1
118,s8
118,s13
119,s25
119,s3
119,s6
119,s9
119,s7
119,s1
119,s24
120,s2
120,s8
120,s25
120,s1
120,s17
121,s3
121,s6
122,s3
123,s13
124,s22
125,s12
126,s13
126,s23
126,s18
126,s5
126,s1
127,s4
127,s2
128,s15
128,s17
128,s23
128,s9
129,s18
129,s2
129,s7
129,s17
129,s6
129,s12
129,s14
130,s4
130,s1
130,s18
130,s5
130,s11
130,s13
130,s14
130,s17
131,s13
131,s1
131,s10
131,s5
132,s21
133,s8
133,s1
134,s1
134,s3
135,s22
136,s23
136,s7
136,s18
136,s21
136,s4
137,s18
137,s5
137,s1
137,s4
138,s3
138,s24
139,s21
139,s25
139,s19
140,s4
141,s10
141,s12
141,s3
141,s1
141,s25
141,s9
141,s5
142,s1
142,s25
142,s19
142,s3
142,s2
143,s24
143,s11
143,s13
143,s18
143,s9
143,s8
144,s6
145,s1
145,s19
145,s5
145,s24
145,s7
145,s8
146,s17
147,s11
148,s24
148,s19
149,s2
149,s15
150,s10
150,s22
150,s11
150,s5
150,s12
151,s15
152,s2
152,s21
153,s6
153,s21
153,s22
154,s13
154,s18
155,s5
156,s3
156,s1
156,s10
157,s2
157,s17
157,s4
157,s6
158,s3
159,s19
159,s9
159,s8
160,s12
160,s25
160,s19
160,s14
161,s24
161,s21
161,s10
162,s7
162,s4
162,s1
163,s23
164,s6
164,s1
165,s23
166,s12
166,s10
167,s8
167,s3
168,s1
168,s20
168,s16
168,s3
169,s11
169,s14
169,s16
169,s20
170,s3
171,s18
172,s15
172,s2
172,s12
172,s16
172,s20
172,s1
172,s3
173,s3
173,s17
173,s4
174,s6
174,s4
175,s1
176,s2
176,s22
177,s1
178,s2
178,s1
178,s22
178,s15
179,s14
179,s12
179,s4
179,s11
179,s1
179,s15
180,s1
181,s1
181,s15
181,s24
181,s2
181,s25
181,s3
181,s17
181,s10
181,s16
181,s20
181,s13
181,s8
182,s11
182,s12
182,s4
183,s19
183,s25
184,s24
184,s7
184,s14
184,s25
184,s9
184,s19
184,s13
184,s5
185,s1
185,s2
185,s3
185,s20
186,s12
186,s22
186,s11
187,s2
188,s6
188,s21
188,s3
188,s20
188,s16
188,s9
189,s15
190,s21
190,s23
190,s12
191,s22
191,s3
191,s16
191,s20
192,s9
192,s14
192,s4
192,s22
192,s11
192,s3
192,s10
192,s16
192,s20
192,s13
192,s18
192,s1
192,s12
192,s15
192,s5
192,s2
193,s9
193,s4
193,s11
193,s25
193,s19
193,s17
193,s6
193,s10
193,s20
193,s21
193,s13
193,s1
193,s15
193,s24
193,s5
193,s2
194,s18
194,s8
194,s5
194,s1
195,s18
195,s4
195,s20
195,s16
195,s12
195,s8
195,s13
195,s11
196,s18
196,s8
196,s19
197,s6
197,s1
197,s13
197,s11
197,s8
198,s19
198,s8
198,s25
199,s18
199,s8
199,s13
199,s21
199,s9
199,s25
199,s19
200,s5
200,s6
200,s23
201,s24
201,s7
201,s15
202,s13
202,s5
203,s5
203,s4
203,s11
203,s10
204,s4
204,s10
204,s16
204,s5
205,s11
205,s19
205,s5
206,s11
206,s10
206,s5
207,s23
207,s11
207,s10
207,s5
208,s14
208,s23
208,s19
208,s10
208,s13
208,s5
209,s11
209,s17
209,s10
209,s13
209,s5
210,s9
210,s7
210,s25
210,s19
210,s3
210,s6
210,s1
210,s24
211,s18
211,s13
211,s19
211,s25
211,s9
211,s5
211,s3
211,s16
211,s20
211,s7
212,s14
212,s24
212,s21
213,s2
214,s15
215,s13
215,s18
215,s23
216,s21
217,s4
217,s6
218,s7
218,s15
218,s12
218,s5
218,s18
219,s2
219,s20
219,s2
219,s2
219,s15
219,s13
219,s18
220,s16
220,s20
221,s20
221,s16
221,s3
222,s7
222,s1
222,s4
222,s6
223,s1
223,s3
223,s17
223,s20
223,s16
223,s16
224,s1
224,s11
224,s4
225,s1
225,s15
225,s9
225,s8
225,s25
225,s2
226,s23
226,s9
227,s24
228,s15
228,s2
228,s10
229,s1
230,s6
231,s22
232,s1
233,s22
233,s17
234,s7
234,s24
234,s1
234,s4
234,s22
234,s8
234,s19
234,s23
235,s4
235,s7
235,s7
235,s6
235,s4
235,s10
236,s17
236,s15
236,s16
236,s1
236,s22
237,s12
237,s23
237,s5
237,s2
237,s14
238,s1
239,s3
239,s14
239,s20
239,s2
240,s1
240,s2
241,s4
241,s22
241,s11
241,s3
241,s6
241,s16
241,s20
241,s8
241,s1
241,s15
241,s24
241,s2
241,s7
242,s7
242,s22
242,s11
242,s3
242,s6
242,s10
242,s16
242,s21
242,s1
242,s12
242,s2
243,s8
243,s1
244,s3
245,s18
246,s4
247,s21
247,s15
247,s25
247,s9
247,s22
248,s6
248,s4
248,s5
248,s18
248,s9
248,s19
249,s9
249,s25
250,s12
251,s10
251,s22
252,s21
253,s7
253,s4
253,s6
254,s19
254,s8
254,s17
