No,carat,depth,table,x,y,z
1,0.23,61.5,55,3.95,3.98,2.43
2,0.21,59.8,61,3.89,3.84,2.31
3,0.23,56.9,65,4.05,4.07,2.31
4,0.29,62.4,58,4.2,4.23,2.63
5,0.31,63.3,58,4.34,4.35,2.75
6,0.24,62.8,57,3.94,3.96,2.48
7,0.24,62.3,57,3.95,3.98,2.47
8,0.26,61.9,55,4.07,4.11,2.53
9,0.22,65.1,61,3.87,3.78,2.49
10,0.23,59.4,61,4,4.05,2.39
11,0.3,64,55,4.25,4.28,2.73
12,0.23,62.8,56,3.93,3.9,2.46
13,0.22,60.4,61,3.88,3.84,2.33
14,0.31,62.2,54,4.35,4.37,2.71
15,0.2,60.2,62,3.79,3.75,2.27
16,0.32,60.9,58,4.38,4.42,2.68
17,0.3,62,54,4.31,4.34,2.68
18,0.3,63.4,54,4.23,4.29,2.7
19,0.3,63.8,56,4.23,4.26,2.71
20,0.3,62.7,59,4.21,4.27,2.66
21,0.3,63.3,56,4.26,4.3,2.71
22,0.23,63.8,55,3.85,3.92,2.48
23,0.23,61,57,3.94,3.96,2.41
24,0.31,59.4,62,4.39,4.43,2.62
25,0.31,58.1,62,4.44,4.47,2.59
26,0.23,60.4,58,3.97,4.01,2.41
27,0.24,62.5,57,3.97,3.94,2.47
28,0.3,62.2,57,4.28,4.3,2.67
29,0.23,60.5,61,3.96,3.97,2.4
30,0.23,60.9,57,3.96,3.99,2.42
31,0.23,60,57,4,4.03,2.41
32,0.23,59.8,57,4.04,4.06,2.42
33,0.23,60.7,59,3.97,4.01,2.42
34,0.23,59.5,58,4.01,4.06,2.4
35,0.23,61.9,58,3.92,3.96,2.44
36,0.23,58.2,59,4.06,4.08,2.37
37,0.23,64.1,59,3.83,3.85,2.46
38,0.31,64,54,4.29,4.31,2.75
39,0.26,60.8,59,4.13,4.16,2.52
40,0.33,61.8,55,4.49,4.51,2.78
41,0.33,61.2,56,4.49,4.5,2.75
42,0.33,61.1,56,4.49,4.55,2.76
43,0.26,65.2,56,3.99,4.02,2.61
44,0.26,58.4,63,4.19,4.24,2.46
45,0.32,63.1,56,4.34,4.37,2.75
46,0.29,62.4,58,4.24,4.26,2.65
47,0.32,61.8,55,4.35,4.42,2.71
48,0.32,63.8,56,4.36,4.38,2.79
49,0.25,63.3,60,4,4.03,2.54
50,0.29,60.7,60,4.33,4.37,2.64
51,0.24,60.9,61,4.02,4.03,2.45
52,0.23,61.9,54,3.93,3.95,2.44
53,0.32,60.9,55,4.45,4.48,2.72
54,0.22,61.6,58,3.93,3.89,2.41
55,0.22,59.3,62,3.91,3.88,2.31
56,0.3,61,59,4.3,4.33,2.63
57,0.3,59.3,61,4.43,4.38,2.61
58,0.3,62.6,57,4.25,4.28,2.67
59,0.3,63,57,4.28,4.32,2.71
60,0.3,63.2,55,4.25,4.29,2.7
61,0.35,60.9,57,4.54,4.59,2.78
62,0.3,62.6,59,4.23,4.27,2.66
63,0.3,62.5,57,4.29,4.32,2.69
64,0.3,62.1,56,4.3,4.33,2.68
65,0.42,61.5,59,4.78,4.84,2.96
66,0.28,61.4,56,4.19,4.22,2.58
67,0.32,62,55.3,4.39,4.42,2.73
68,0.31,63.3,57,4.33,4.3,2.73
69,0.31,61.8,58,4.35,4.32,2.68
70,0.24,60.7,58,4.01,4.03,2.44
71,0.24,61.5,60,3.97,4,2.45
72,0.3,63.1,56,4.29,4.27,2.7
73,0.3,62.9,59,4.28,4.24,2.68
74,0.3,62.5,57,4.29,4.25,2.67
75,0.3,63.7,57,4.28,4.26,2.72
76,0.26,59.2,60,4.19,4.22,2.49
77,0.26,59.9,58,4.15,4.23,2.51
78,0.26,62.4,54,4.08,4.13,2.56
79,0.26,62.8,60,4.01,4.05,2.53
80,0.26,62.6,59,4.06,4.09,2.55
81,0.26,63.4,59,4,4.04,2.55
82,0.26,62.1,60,4.03,4.12,2.53
83,0.26,62.9,58,4.02,4.06,2.54
84,0.38,61.6,56,4.65,4.67,2.87
85,0.26,57.9,60,4.22,4.25,2.45
86,0.24,62.3,59,3.95,3.92,2.45
87,0.24,61.2,58,4.01,3.96,2.44
88,0.24,60.8,59,4.02,4,2.44
89,0.24,60.7,58,4.07,4.04,2.46
